43,auxiliary,auxiliaris,"(adj) help-bringing",auxiliaire,auxiliar,ausiliare
44,avian,avis,"(n) bird",unknown,aviar,aviario
45,aviary,aviarium,"(n) bird enclosure",volière,pajarera,aviario
46,aviation,avis,"(n) bird",aviation,aviación,aviazione
47,avid,avidus,"(adj) showing a keen interest",avide,ávido,avido
48,baccalaureate,baccalaureus,"(n) academic bachelor",baccalauréat,bachillerato,laurea
49,barbarian,barbarus,"(adj) cruel, savage, foreign",barbare,bárbaro,barbaro
50,beatific,beatificus,"(adj) making happy or blessed",béatifique,beatífico,beatifico
51,beatitude,beatitudo,"(n) bliss",béatitude,beatitud,beatitudine
52,belligerent,belligerans,"(adj) waging war",belligérant,beligerante,belligerante
53,benefit,beneficium,"(n) good deed, favor or service",bénéfice,beneficio,beneficio
54,bestial,bestia,"(n) beast, wild animal",bestial,bestial,bestiale
55,brevity,brevitas,"(n) shortness, conciseness",brièveté,brevità,brevedad
56,campus,campus,"(n) flat, open place or field",campus,campus,campus
57,candid,candidus,"(adj) white, clear or pure ",candide,cándido,candido
58,candidate,candidatus,"(adj) white-robed",candidat,candidato,candidato
59,canine,canis,"(n) dog",canin,canino,canino
60,celerity,celeritas,"(n) swiftness of speed",célérité,celeridad,celerità
61,celestial,caelestis,"(adj) pertaining to the heavens",céleste,celestial,celestiale
62,certain,certus,"(adj) fixed, resolved, settled",certain,cierto,certo
63,circumspect,circumspectus,"(adj) looking around",circonspect,circunspecto,circospetto
64,circumstance,circumstantia,"(n) a standing around; surroundings",circonstance,circunstancia,circostanza
65,civic,civis,"(n) citizen",civique,cívico,civico
66,clamor,clamare,"(v) proclaim; cry out",clameur,clamor,clamore
67,clause,claudere,"(v) block, shut or enclose",clause,cláusula,clausola
68,colloquial,colloquium,"(n) conversation, discourse",familier,coloquial,colloquiale
69,columbine,columba,"(n) dove",ancolie,aguileña,aquilegia
70,commission,committere,"(v) put with, join or entrust",commission,comisión,commissione
71,commit,committere,"(v) put with, join or entrust",commettre,cometer,commettere
72,conceal,concelare,"(v) keep hidden",dissimuler,celar,celare
73,concur,concurrere,"(v) run together; coincide",concorder,concurrir,concorrere
74,condition,condicio,"(n) agreement, stipulation",condition,condición,condizione
75,conflict,conflictus,"(n) a striking together; struggle",conflit,conflicto,conflitto
76,conspicuous,conspicuus,"(adj) clearly visible, apparent",évident,conspicuo,cospicuo
77,constitute,constituere,"(v) establish; set up",constituer,constituir,costituire
78,construct,construere,"(v) build up",construire,construir,costruire
79,contend,contendere,"(v) stretch, strive",disputer,contender,contendere
80,copious,copia,"(n) plenty",copieux,copioso,copioso
81,corona,corona,"(n) wreath, crown",couronne,corona,corona
82,corpse,corpus,"(n) body or mass",corps,cuerpo,corpo
83,counsel,consilium,"(n) advice; body of advisors",conseil,consejo,consiglio
84,crest,crista,"(n) tuft, plume",crête,cresta,cresta
85,cruel,crudelis,"(adj) rude, merciless",cruel,cruel,crudele
86,custody,custodia,"(n) watch, guard",garde,custodia,custodia
87,decapitate,decapitare,"(v) behead",décapiter,decapitar,decapitare
88,decay,decadere,"(v) fall, sink",carier décliner,decaer,decadere
89,deceased,decedere,"(v) leave, depart",décédé défunt,difunto,deceduto
90,deity,deus,"(n) supreme being; god",dieu,dios,dio
91,delegate,delegare,"(v) assign, appoint",déléguer,delegar,delegare
92,delete,delere,"(v) destroy, nullify",éliminer,eliminar,eliminare
93,demonstrate,demonstrare,"(v) show, describe, point out",démontrer,demostrar,dimostrare
94,dense,densus,"(adj) compact",dense,denso,denso
95,deport,deportare,"(v) carry away, transport",déporter,deportar,deportare
96,desire,desiderare,"(v) a strong want",désirer,desear,desiderare
97,despair,desperare,"(v) lose hope",désespérer,desesperar,disperare
98,desperate,desperatus,"(adj) deprived of hope",désespéré,desesperado,disperato
99,dexterous,dexter,"(adj) on the right; favorable",adroit,diestro,destro
100,dictate,dictare,"(v) say, recite, declare",dicter,dictar,dettare
101,dictionary,dictionarius,"(n) book of words",dictionnaire,diccionario,dizionario
102,difficult,difficilis,"(adj) hard, laborious",difficile,difícil,difficile
103,digit,digitus,"(n) finger, toe",doigt,dedo,dito
104,digital,digitalis,"(adj) relating to digits",digital,digital,digitale
105,diligent,diligens,"(adj) assiduous, having special regard for",diligent,diligente,diligente
106,disciple,discipulus,"(n) learner",disciple,discípulo,discepolo
107,discipline,disciplina,"(n) instruction, knowledge",discipline,disciplina,disciplina
108,dismiss,dimittere,"(v) send away",démettre,despedir destituir,dimettere
109,doctrine,doctrina,"(n) instruction",doctrine,doctrina,dottrina
110,document,documen,"(n) example, proof",document,documento,documento
111,dominate,dominare,"(v) rule over",dominer,dominar,dominare
112,donation,donum,"(n) gift",donation,donación,donazione
113,dormitory,dormitorium,"(n) place to sleep",dortoir,dormitorio,dormitorio
114,doubt,dubium,"(n) a question",doute,duda,dubbio
115,dragon,draco,"(n) large serpent",dragon,dragón,drago
116,durable,durabilis,"(adj) lasting",durable,duradero,durevole
117,edible,edibilis,"(adj) may be taken as food",comestible,comestible,commestibile
118,edifice,aedificium,"(n) dwelling",édifice,edificio,edificio
119,effect,efficere,"(v) accomplish",effet,efecto,effetto
120,egregious,egregius,"(adj) standing out",flagrant,mayúsculo,madornale
121,elated,elatus,"(adj) elevated, exalted",exalté,exaltado,esaltato
122,emperor,imperator,"(n) commander",empereur,emperador,imperatore
123,epistle,epistula,"(n) written communication",épître,epístola,epistola
124,equestrian,equester,"(adj) belonging to a horseman",équestre,ecuestre,equestre
125,equine,equus,"(n) horse",équin,equino,equino
126,error,erratum,"(n) a mistake",erreur,error,errore
127,evade,evadere,"(v) avoid, escape",évader,evadir,evadere
128,evoke,evocare,"(v) to summon",évoquer,evocar,evocare
129,excite,excitare,"(v) cause, incite or arouse",exciter,excitar,eccitare
130,expect,expectare,"(v) look out for, anticipate",espérer,esperar,aspettarsi
131,expire,expirare,"(v) breathe out",expirer,espirar,espirare
132,explore,explorare,"(v) search out, investigate",explorer,explorar,esplorare
133,extra,extra,"(adv) outside",extra,extra,extra
134,facility,facilis,"(adj) easy",facilité,facilidad,facilità
135,fact,factum,"(n) act, deed or truth",fait,hecho,fatto
136,fame,fama,"(n) reputation",famé,fama,fama
137,felicity,felicitas,"(n) happiness",félicité,felicidad,felicità
138,feline,felis,"(n) cat",félin,felino,felino
139,feminine,femininus,"(adj) relating to women",féminin,femenino,femminile
140,ferocious,ferox,"(adj) cruel, wild",féroce,feroz,feroce
141,fidelity,fidelitas,"(n) faithfulness",fidélité,fidelidad,fedeltà
142,fierce,ferus,"(adj) untamed",fier,fiero,fiero
143,figure,figura,"(n) shape or form",figure,figura,figura
144,filial,filius filia,"(n) son, daughter",filial,filial,filiale
145,finish,finis,"(n) the end",fin,fin,fine
146,firm,firmus,"(adj) solid, strong, enduring",ferme,firme,fermo
147,flame,flamma,"(n) fire, ardor",flamme,llama,fiamma
148,fluent,fluentus,"(adj) flowing unrestrained",fluide,fluido,fluido
149,focus,focus,"(n) hearth, stove",foyer,foco,fuoco
150,force,fortis,"(adj) strong",force,fuerza,forza
151,fraternity,fraternitas,"(n) brotherhood",fraternité,fraternidad,fraternità
152,frustrate,frustrare,"(v) elude, disappoint",frustrer,frustrar,frustrare
153,fugitive,fugitivus,"(n) deserter, runaway",fugitif,fugitivo,fuggitivo
154,fume,fumus,"(n) smoke or vapor",fumée,humo,fumo
155,gem,gemma,"(n) jewel, bud",gemme,gema,gemma
156,generate,generare,"(v) produce, beget",générer,generar,generare
157,genus,genus,"(n) race, stock",genre,genero,genere
158,gladiator,gladius,"(n) sword",gladiateur,gladiador,gladiatore
159,gratitude,gratia,"(n) goodwill, thanks",gratitude,gratitud,gratitudine
160,gravity,gravitas,"(n) weight",gravité,gravedad,gravità
161,gusto,gustus,"(n) taste",goût,gusto,gusto
162,habit,habitus,"(n) character or condition",habitude,hábito,abito abitudine
163,habitat,habitare,"(v) live in, dwell",habitat,hábitat habitación,habitat
164,herb,herba,"(n) grass, crop",herbe,hierba,erba
165,horticulture,hortus,"(n) garden",horticulture,horticultura,orticultura
166,hostile,hostilis,"(adj) of an enemy",hostile,hostil,ostile
167,hour,hora,"(n) sixty minutes; season",heure,hora,ora
168,ignite,ignire,"(v) make intensely hot",enflammer,inflamar,infiammare
169,illuminate,illuminare,"(v) light upon",illuminer,iluminar,illuminare
170,imperial,imperium,"(n) command, empire",impérial,imperial,imperiale
171,in,in,"(p) enclosed or surrounded with",en dans,en,in
172,incantation,incantare,"(v) enchant",incantation,encanto,incanto incantesimo
173,inception,incipere,"(v) begin",commencement début,inicio principio,inizio principio
174,inevitable,inevitabilis,"(adj) unavoidable",inévitable,inevitable,inevitabile
175,initial,initium,"(n) beginning",initial,inicial,iniziale
176,inquire,inquirere,"(v) investigate",enquérir,inquirir,chiedere
177,insidious,insidere,"(v) lie in wait for",insidieux,insidioso,insidioso
178,insomnia,insomnis,"(adj) sleepless",insomnie,insomnio,insonnia
179,invade,invadere,"(v) go into, attack",envahir,invadir,invadere
180,invent,invenire,"(v) come upon or discover",inventer,inventar,inventare
181,invincible,invincibilis,"(adj) can not be defeated",invincible,invencible,invincibile
182,judicial,judicium,"(n) judgment, verdict",judiciaire,judicial,giudiziario
183,just,justus,"(adj) fair, equitable",juste,justo,giusto
184,juvenile,juvenis,"(n) a young person",jeune,juvenil,giovane
185,labor,labor,"(n) toil",labeur,labor,labore
186,language,lingua,"(n) tongue, dialect",langue,lengua,lingua
187,latitude,latitudo,"(n) breadth",latitude,latitud,latitudine
188,laureate,laurus,"(n) laurel, bay tree",lauréat,laureado,laureato
189,legacy,legatus,"(n) one delegated",legs,legado,legato
190,legal,lex legis,"(n) a law",légal,legal,legale
191,liberal,liberalis,"(adj) free or generous",libéral,liberal,liberale
192,library,librarium,"(n) bookcase or store",librairie,librería,libreria
193,longitude,longitudo,"(n) length",longitude,longitud,longitudine
194,lucid,lux lucis,"(n) light, day",lucide,lúcido,lucido
195,lunar,luna,"(n) moon",lunaire,lunar,lunare
196,magic,magia,"(n) art, trick, sorcery",magie,magia,magia
197,magistrate,magister,"(n) master or administrator",magistrat,magistrado,magistrato
198,magnify,magnificare,"(v) extol, make great",magnifier,magnificar,magnificare
199,major,major,"(n) adult, ancestor",majeur,mayor,maggiore
200,malevolent,malevolens,"(adj) wishing ill",malveillant,malévolo,malevolo
201,manufacture,manufactum,"(n) made by hand",manufacture,manufactura,manufatto
202,marine,marinus,"(adj) of the sea",marin,marino,marino
203,maternal,mater,"(n) mother",maternel,maternal,materno
204,grace,gratia,"(n) goodwill, thanks",grâce,gracia,grazia
205,mediate,medius,"(n) middle",arbitrer,mediar,mediare
206,medicine,medicina,"(n) clinical practice, treatment",médecine,medicina,medicina
207,mediocre,mediocris,"(adj) of middle degree, somewhat mountainous",médiocre,mediocre,mediocre
208,medium,medius,"(n) middle",moyen milieu,medio mediano,mezzo
209,memory,memoria,"(n) history or recollection",mémoire,memoria,memoria
210,meridian,meridianus,"(adj) of midday, noon",méridien,meridiano,meridiano
211,mile,mille,"(n) a thousand",mille,mil,mille
212,military,militaris,"(n) soldier",militaire,militar,militare
213,minimum,minimus,"(adj) least",minimum,mínimo,minimo
214,minor,minor,"(adj) smaller, less",mineur,menor,minore
215,minus,minus,"(adj) smaller, less",moins,menos,meno
216,miracle,miraculum,"(n) object of wonder",miracle,milagro,miracolo
217,miserable,miserabilis,"(adj) pitiable",misérable,miserable,miserabile
218,mode,modus,"(n) a measure, extent, or manner",mode,modo,modo
219,modern,modo,"(adv) presently",moderne,moderno,moderno
220,morbid,morbidus,"(adj) relating to disease",morbide,morboso,morboso
221,mortal,mortalis,"(adj) of human origin",mortel,mortal,mortale
222,mountain,mons,"(n) large natural elevation",montagne,montaña,montagna
223,multitude,multitudo,"(n) a great number",multitude,multitud,moltitudine
224,mundane,mundus,"(n) world",mondain,mundial,mundial
225,mural,muru,"(n) wall",mur,muro,muro
226,mutation,mutare,"(v) change, modify",mutation,mutación,mutazione
227,narrate,narrare,"(v) tell, recount",narrer,narrar,narrare
228,nautical,nauticus,"(adj) pertaining to sailors or navigation",nautique,náutico,nautico
229,navigate,navigare,"(v) sail, drive a ship",naviguer,navegar,navigare
230,navy,navis,"(n) ship",navire,nave,nave
231,necessary,necessarius,"(adj) be needful or compulsory",nécessaire,necesario,necessario
232,neglect,neglegere,"(v) disregard",négligence,negligencia,negligenza
233,negotiate,negotium,"(n) business, not leisure",négocier,negociar,negoziare
234,nocturnal,nocturnus,"(adj) of the night",nocturne,nocturno,notturno
235,nominal,nomen,"(n) name",nominal,nominal,nominale
236,nominate,nominare,"(v) to name someone or thing",nommer,nombrar nominar,nominare
237,note,nota,"(n) a mark",note,nota,nota
238,number,numerus,"(n) quantity or sum",nombre numéro,número,numero
239,numerous,numerosus,"(adj) great in number, many",nombreux,numeroso,numeroso
240,obscure,obscurus,"(adj) dark",obscur,oscuro,oscuro
241,obtain,obtinere,"(v) gain hold of",obtenir,obtener,ottenere
242,occupy,occupare,"(v) seize",occuper,ocupar,occupare
243,ocular,oculus,"(n) eye",oculaire,ocular,oculare
244,oppress,oppressare opprimere,"(v) press against, squeeze",opprimer,oprimir,opprimere
245,ovine,ovis,"(n) sheep",ovin,ovino ovejuno,ovino
246,partial,pars,"(n) portion or region",partial partiel,parcial,parziale
247,paternal,pater,"(n) father",paternel,paterno,paterno
248,pectoral,pectus,"(n) chest",pectoral,pectoral,pettorale
249,pen,penna,"(n) feather",plume,pluma,penna piuma
250,penalty,poena,"(n) pain, punishment",pénalité,pena,pena
251,peninsula,paeninsula,"(n) nearly an island",péninsule,península,penisola
252,people,populus,"(n) citizens, inhabitants",peuple,pueblo,popolo
253,perfect,perfectus,"(adj) completed",parfait,perfecto,perfetto
254,perish,perire,"(v) pass away",périr,perecer,perire
255,petulant,petulans,"(adj) immodest",pétulant,petulante,petulante
256,picture,pictura,"(n) a painting",peinture,pintura,pittura
257,placid,placidus,"(adj) calm, peaceful",placide,plácido,placido
258,plenty,plenus,"(adj) full, abundant",plénitude,plenitud pleno,plenitudine pieno
259,plus,plus,"(adj) more",plus,plus,più
260,popular,popularis,"(adj) of the people",populaire,popular,popolare
261,porcine,porcus,"(n) pig",porcin,porcino,porcino
262,port,portus porta,"(n) harbor, gate",porte,puerta,porta
263,potent,potens,"(adj) capable",potencé puissant,potente,potente
264,potential,potentia,"(n) power",potentiel,potencial,potenziale
265,precious,pretiosus,"(adj) of great value",précieux,precioso,prezioso
266,premium,praemium,"(n) booty, reward",prime,premium prima,premio
267,prime,primus,"(adj) first",prime premier,primo primero,primo
268,problem,problema,"(n) riddle or topic of debate",probléme,problema,problema
269,proceed,procedere,"(v) go forward",procéder,proceder,procedere
270,propinquity,propinquitas,"(n) nearness, vicinity",propinquité (old),propincuidad,propinquità
271,protect,protegere,"(v) to cover",protéger,proteger,proteggere
272,province,provincia,"(n) official command",province,provincia,provincia
273,provoke,provocare,"(v) challenge, call forth",provoquer,provocar,provocare
274,proximity,proximitas,"(n) nearness, vicinity",proximité,proximidad,prossimità
275,punish,punire,"(v) inflict a penalty for wrongdoing",punir,punir,punire
276,quiet,quies quietis,"(n) calm, peace",coi quiet,quedo quieto,cheto quieto
277,radius,radius,"(n) ray, rod, spoke",rayon radius,radio,raggio radio
278,rational,rationalis,"(adj) relating to reason",rationnel,racional,razionale
279,recipient,recipere,"(v) take back",récipient,recipiente,recipiente
280,reduce,reducere,"(v) bring back",réduire,reducir,ridurre
281,regal,rex reg,"(n) king",royal régal,regio,regale regio
282,regulate,regulare,"(v) rule, direct",réguler régler,regular,regolare
283,relinquish,relinquere,"(v) leave, give up",relinquir lâcher,renunciar,rilasciare
284,remain,remanere,"(v) to stay",rester demeurer,permanecer,rimanere
285,remember,rememorari,"(v) call to mind",remémorer,remembrar,rimembrare
286,resist,resistere,"(v) stall, withstand, or oppose",résister,resistir,resistere
287,respect,respicere,"(v) look to, regard",respect,respeto,rispetto
288,retain,retinere,"(v) hold back",retenir,retener,ritenere
289,ridicule,ridere,"(v) laugh or mock",rire,reir,ridere
290,ridiculous,ridiculus,"(adj) laughable",ridicule risible,ridículo,ridicolo
291,sacrament,sacramentum,"(n) solemn oath",sacrement,sacramento,sacramento
292,sacred,sacer,"(adj) holy",sacré,sacro sagrado,sacro
293,saline,sal,"(n) salt",salé salin,salino,salino
294,sapient,sapere,"(v) know, capable of discerning",sage,sabio,sapiente
295,satisfy,satisfacere,"(v) make enough",satisfaire,satisfacer,soddisfare
296,savage,silvaticus,"(adj) of the woods",sauvage,salvaje,selvatico
297,scholar,schola,"(n) place of learning",écolier,escolar,scolaro
298,school,schola,"(n) place of learning",école,escuela,scuola
299,science,scientia,"(n) knowledge",science,ciencia,scienza
300,second,secundus,"(adj) next, following",second,segundo,secondo
301,secret,secretus,"(adj) set apart",secret,secreto,segreto
302,sediment,sedimentum,"(n) a settling",sédiment,sedimento,sedimento
303,semen,semen,"(n) seed",semences,semilla,seme
304,senator,senex,"(adj) old",sénateur,senador,senatore
305,sense,sentire,"(v) to feel",sentir,sentir,sentire
306,serpent,serpens,"(n) snake",serpent,serpiente,serpente
307,serve,servire,"(v) perform or provide for another",servir,servir,servire
308,significant,significantia,"(n) meaning or indication",signification,significado,significato
309,signify,significare,"(v) indicate, portend",signifier,significar,significare
310,sinister,sinister,"(adj) left",sinistre,siniestro,sinistro
311,social,socius,"(n) friend, ally",social,social,sociale
312,solar,sol,"(n) sun",solaire,solar,solare
313,solo,solus,"(adj) alone",solo,solo,solo
314,sorority,soror,"(n) sister",sororité,sororidad,sorellanza
315,spatial,spatium,"(n) space",spatial,espacial,spaziale
316,spectator,spectare,"(v) gaze, observe",spectateur,espectador,spettatore
317,spelunker,spelunca,"(n) cave",spéléologue,espeleólogo,speleologo
318,spine,spina,"(n) thorn, backbone",épine,espina,spina
319,stellar,stella,"(n) star",stellaire,estelar,stellare
320,subdue,subducere,"(v) draw from below",unknown,unknown,unknown
321,summit,summus,"(adj) top, highest",sommet,summum sumun,summit sommità
322,superb,superbus,"(adj) proud",superbe,soberbio,superbo
323,tabernacle,tabernaculum,"(n) tent, tavern",tabernacle,tabernáculo,tabernacolo
324,tacit,tacitus,"(adj) done without words, silent",tacite,tácito,tacito
325,taciturn,taciturnus,"(adj) disinclined to speak",taciturne,taciturno,taciturno
326,tactile,tactilis,"(adj) perceptible by touch",tactile,táctil,tattile
327,taurine,taurus,"(n) bull",taurin,taurina,taurina
328,tempo,tempus,"(n) time",temps,tiempo,tempo
329,tempt,temptare,"(v) test, try",tenter,tentar,tentare
330,tenure,tenere,"(v) have, hold",tenir,tener,tenere
331,terrain,terrenum terra,"(n) land, earth",terrain,terreno,terreno
332,terrible,terrere,"(v) frighten",terrible,terrible,terribile
333,inferno,infernum,"(n) underworld",enfer,infierno,inferno
334,tertiary,tertius,"(adj) third",tier,tercio,terzo
335,textile,textilis,"(adj) woven",textile,textil,tessile
336,texture,textura,"(n) a weave",texture,textura,tessuto
337,timid,timere,"(v) to fear",timide,tímido,timido
338,total,totum,"(n) whole",total,total,totale
339,transit,transire,"(v) go across",transit,tránsito,transito
340,translucent,translucere,"(v) shine through",translucide,traslúcido,traslucido
341,transmit,transmittere,"(v) send across",transmettre,transmitir,trasmettere
342,transport,transportare,"(v) carry across",transporter,transportar,trasportare
343,tremble,tremere,"(v) shake involuntarily",trembler,temblar,tremare
344,tyranny,tyrannus,"(n) despot, oppressive ruler",tyrannie,tiranía,tirannia
345,ultimate,ultimus,"(n) last, final",ultime,último,ultimo
346,umbrella,umbra,"(n) shadow",ombrelle,sombrilla,ombrello
347,unctuous,unguere,"(v) anoint",onctueux,untuoso,untuoso
348,undulate,unda,"(n) wave",onduleux,ondular,ondulato
349,urban,urbs,"(n) city",urbain,urbano,urbano
350,valediction,valedicere,"(v) bid farewell",unknown,unknown,unknown
351,value,valere,"(v) be healthy or worthy",valeur,valor,valore
352,vast,vastus,"(adj) void, immense",vaste,vasto,vasto
353,vehement,vehemens,"(adj) eager, impetuous",véhément,vehemente,veemente
354,venom,venenum,"(n) poison",venin,veneno,veleno
355,ventilate,ventulus,"(n) slight wind",ventiler,ventilar,ventilare
356,verbal,verbum,"(n) word",verbal,verbal,verbale
357,verity,veritas,"(n) truth",vérité,verdad,verità
358,very,verus,"(adj) true, real",vrai,vero verdadero,vero
359,vex,vexare,"(v) shake, disturb",vexer,vejar,vessare
360,via,via,"(n) way, road",voie via,vía,via
361,vicinity,vicinitas,"(n) proximity, neighborhood",vicinité,vecindad,vicinità vicinanze
362,video,videre,"(v) to see",vidéo,video,video
363,vigilant,vigilans,"(adj) watchful",vigilant,vigilante,vigilante
364,village,villa,"(n) country house",villa village,villa,villa villaggio
365,virile,virilis vir,"(adj) having energy and drive, typical of a man",viril,viril,virile
366,vision,visio,"(n) faculty of sight",vision,visión,visione
367,vital,vita vitalis,"(n) life, living",vital,vital,vitale
368,vivacious,vivax,"(adj) lively",vivace,vivaz,vivace
369,vivid,vivere vividus,"(v) to live, lively",vivide,vívido,vivido
370,vocal,vocalis vox,"(adj) relating to sound or speaking",vocal,vocal,vocale
371,vocation,vocatio,"(n) a calling, occupation",vocation,vocación,vocazione
372,voice,vox,"(n) voice",voix,voz,voce
373,vulnerable,vulnus,"(n) a wound",vulnérable,vulnerable,vulnerabile
374,justice,justitia jus,"(n) law or right",justice,justicia,giustizia
375,travail,trepalium,"(n) instrument of torture, three stakes",travail,trabajo,travaglio
376,annul,annullare,"(v) cancel, invalidate",annuler,anular,annullare
377,nuptial,nuptiae,"(n) wedding",nuptial,nupcial,nuziale
378,nubile,nubilis,"(adj) able to be wed",nubile,núbil,nubile
379,decadence,decadentia,"(n) decline or decay",décadence,decadencia,decadenza
380,assiduous,assidere,"(v) stand by or be engaged with",assidu,asiduo,assiduo
381,dubious,dubius,"(adj) uncertain, wavering",dubitatif douteux,dudoso,dubbio dubbioso
382,assess,assidere,"(v) to sit by, levy tax",asseoir,asear,assidere
383,reputation,reputare,"(v) to think over",réputation,reputación,reputazione
384,inferior,inferus,"(adj) low",inférieur,inferior,inferiore
